Title;Description;Image;Nombre;Concejo;Direccion;Telefono;Email;Web;Facebook;Twitter;Instagram;Youtube;Horario;MasInformacion;Observaciones;QCalidad;InfoMascotas;Coordenadas;Slide;SlideTitulo;SlideUrl;NumeroMaximo;DetalleNormas
Oficina de turismo de Siero;Oficina de turismo;/documents/39908/47064/OTSiero.jpg/2b792111-0510-f10a-7a6c-4da64bff7835;Oficina de turismo de Siero;Siero;Palacio Marqués de Santa Cruz. Alcalde Parrondo, s/n. 33510. Pola de Siero;985 725 424 (Ayuntamiento);turismo@ayto-siero.es;https://www.ayto-siero.es/;;;;;Temporalmente cerrada ;;;;;43.390088,-5.663658;/documents/39908/47064/OTSiero.jpg/2b792111-0510-f10a-7a6c-4da64bff7835?t=1674175580254;Exterior de la Oficina de Turismo de Siero;;;
Oficina de turismo de Cabrales;Oficina de turismo;/documents/39908/46950/Cabrales.jpg/f9092eb9-ef4e-1e21-114d-e87dfee50879;Oficina de turismo de Cabrales;Cabrales;33554. Las Arenas;985 846 484;,oficinadeturismo@cabrales.es;https://www.cabrales.es/turismo;;;;;Miércoles a domingo: 10:30 a 14:00 y 16:00 a 19:30 h.;Abierta Semana Santa y temporada alta;;;;43.315834,-4.851253;/documents/39908/46950/Cabrales.jpg/f9092eb9-ef4e-1e21-114d-e87dfee50879?t=1674175543635;Cabrales;;;
Oficina de turismo de Lena;Oficina de turismo de Lena;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6;Oficina de turismo de Lena;Lena;Marqués de San Feliz, 2. 33630. La Pola;985 497 608;turismo@aytolena.es;http://www.aytolena.es;https://www.facebook.com/OficinaTurismoLena;https://twitter.com/LenaTurism;https://www.instagram.com/turismolena;;17/06 a 15/09 Martes a viernes: 10:00 a 13:00 y 16:00 a 18:00 h. Sábados: 10:00 a 13:00 y 16:30 a 18:00 h. Domingos: 10:00 a 13:00 h.  ;Abre todo el año;;;;43.160709,-5.827519;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;
Oficina de turismo de Cangas del Narcea;<p>Oficina de turismo de Cangas del Narcea</p>;/documents/39908/46956/OT+Cangas+del+Narcea.jpg/ca5b9b83-9f01-b675-852d-1c3201528a94;Oficina de turismo de Cangas del Narcea;Cangas del Narcea;Palacio de Omaña. Plaza La Oliva. 33800. Cangas del Narcea;985 811 498;turismo@ayto-cnarcea.es;http://www.ayto-cnarcea.es,www.fuentesdelnarcea.org;;;;;Martes a viernes: 11:00 a 14:00  y 16:00 h a 18:30 h. Sábado y domingo: 11:00 a 14:00 h. Cerrado: lunes;Abre todo el año;;;;43.177134,-6.551716;/documents/39908/46956/OT+Cangas+del+Narcea.jpg/ca5b9b83-9f01-b675-852d-1c3201528a94?t=1674175546186;OT Cangas del Narcea - Palacio de Omaña;;;
Punto de información turística en La Escalerona;<p>Punto de información turística en La Escalerona</p>;/documents/39908/46977/PIT_la-escalerona.jpg/f120d9b7-0485-969c-af02-d786d85224d3;Punto de información turística en La Escalerona;Gijón;Playa de San Lorenzo. Escalera 4. 33202. Gijón;985 341 771;turismo@gijon.es;www.gijon.es,;;https://twitter.com/gijon;https://www.instagram.com/gijon/?hl=es;;Consultar horario aquí;;;TRUE;;43.542311,-5.659271;/documents/39908/46977/PIT_la-escalerona.jpg/f120d9b7-0485-969c-af02-d786d85224d3?t=1674175554173;Punto de información turística en La Escalerona;;;
Oficina de turismo de Ibias;Oficina de turismo;/documents/39908/47037/Palloza_Ibias.jpg/4bfc4966-c6b3-2137-1924-a60e4158b15d;Oficina de turismo de Ibias;Ibias;Aula de la Naturaleza. 33810. San Antolín;615 164 329;turismo@ibias.es;http://www.ibias.es;;;;;Jueves a lunes: 11:30 a 18:30 h. Martes: 11:00 a 15:00 h. Cerrado: miércoles  ;;;;;43.039615,-6.872325;/documents/39908/47037/Palloza_Ibias.jpg/4bfc4966-c6b3-2137-1924-a60e4158b15d?t=1674175570653;Centro Interpretación Palloza de Ibias;;;
Oficina de turismo de Peñamellera Baja;Oficina de turismo de Peñamellera Baja;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6;Oficina de turismo de Peñamellera Baja;Peñamellera Baja;Museo de los Bolos.Barrio de la Bolera, 1. 33570 Panes;985 414 417 / 985 414 008 (Ayto);turismo@aytopbpanes.es;https://www.aytopbpanes.es/;;;;;Semana Santa: Lunes a Viernes: 10:30 a 13:30 y 16:00 a 19:00 h. Sábado y Domingo: 10:30 a 13:30 y 16:00 a 18:00 h. Verano (2 de julio a 4 septiembre): Martes a Domingo: 11:00 a 13:30 y 15:30 a 19:30 h. Lunes: Cerrado;;;;;43.32357,-4.583705;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;
Oficina de turismo de Villayón;Oficina de turismo de Villayón;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6;Oficina de turismo de Villayón;Villayón;Oneta. 33717. Villayón;681 160 058 / 985 625 051 (Ayto);turismo@villayon.es,villayon@villayon.es;http://www.villayon.es;;;;;01/07 a 30/09: 11:00 a 19:00 h.;;;;;43.465488,-6.66749;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;
Oficina de turismo de Tineo;Oficina de turismo de Tineo;/documents/39908/47046/tineo.jpg/59b097a7-f61c-a5e2-c002-8eef88b47bbf;Oficina de turismo de Tineo;Tineo;Plaza El Fontán, 22. 33870. Tinéu;985 900 202;turismo@tineo.es;http://www.tineo.es;https://www.facebook.com/TurismoTineo;https://twitter.com/TurismoTineo;https://www.instagram.com/turismotineo/?hl=es;;01/06 a 31/08: Martes a Domingo: 10:30 a 14:30 y 15:30 a 18:30 h. Cerrado: lunes Resto del año: Lunes a Viernes: 10:00 a 15:00 h. Cerrado: sábado y domingo;Abre todo el año;;;;43.335034,-6.415051;/documents/39908/47046/tineo.jpg/59b097a7-f61c-a5e2-c002-8eef88b47bbf?t=1674175574291;Oficina de turismo de Tineo;;;
Oficina de turismo de Laviana;Oficina de turismo;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6;Oficina de turismo de Laviana;Laviana;Centro de Interpretación Armando Palacio Valdés. 33987 Entralgo;985 611 377;palaciovaldes@laviana.es;http://www.palaciovaldes.com;;;;;Miércoles a Sábados: 11:00 a 14:00 y 16:30 a 19:00 h. Domingos: 11:00 a 14:00 h. Cerrado: lunes y martes    ;Abre todo el año;;;;43.234217,-5.557248;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;
