PRECIOS PAGADOS EN ASTURIAS. Año 2016;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;
;Maíz grano híbrido;€/kilo;;;;;86,9;86,9;;;;;;;86,9;
;Maíz forrajero;€/kilo;6,13;6,13;6,13;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,42;6,35;
701112;Judía verde;€/kilo;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;24,16;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,7;1,7;1,82;1,71;1,82;1,7;1,7;1,75;1,73;1,73;1,73;1,73;1,74;
Varios;;;;;;;;;;;;;;;;
;Lámina de plástico para silo;€/100 kilos;150;150;150;150;150;150;150;150;150;150;150;150;150;
;ACEITE M-3 envase 5 litros ;€/litro;;;;;;;;;;;;;;
;"Gas-oil ""B""";€/litro;0,51;0,49;0,46;0,46;0,53;0,52;0,5;0,51;0,53;0,58;0,52;0,52;0,51;
Fertilizantes simples;;;;;;;;;;;;;;;;
702104;Nitrato amónico cálcico 26%;€/100 kilos;33,83;32,5;32,24;32,24;31,91;31,92;31,92;31,56;31,56;31,56;31,91;31,91;32,09;
702108;Superfosfato de cal 18% (grano);€/100 kilos;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;23,85;
702111;Sulfato potásico 50%;€/100 kilos;57,5;57,5;61,25;61,25;61,25;57,5;73,25;51,1;51,1;57,5;57,5;57,5;58,68;
Fertilizantes complejos;;;;;;;;;;;;;;;;
702207;8/15/15;€/100 kilos;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;38,52;
702209;8/24/16;€/100 kilos;46,14;46,32;46,32;46,32;46,17;44,82;44,82;45,95;45,95;45,95;44,8;44,8;45,7;
702210;9/18/27;€/100 kilos;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;48,2;
702213;15/15/15;€/100 kilos;41,99;41,84;42,71;42,71;42,71;40,97;40,97;40,62;40,62;40,62;40,95;40,95;41,47;
Piensos simples ;;;;;;;;;;;;;;;;
703101;Trigo;€/100 kilos;26,16;26,16;26,41;26,03;26,03;25,45;25,6;26,06;25,93;25,93;25,44;25,44;25,89;
703102;Cebada;€/100 kilos;24,17;24,02;24,17;23,92;23,92;23,22;22,27;22,71;22,59;22,22;21,77;21,77;23,06;
703103;Avena;€/100 kilos;27,22;27,22;27,22;27,22;27,22;26,55;26,25;26,28;26,28;25,95;25,95;25,95;26,61;
703104;Maíz;€/100 kilos;24,05;24,05;24,28;24,28;24,28;23,74;23,52;24,21;24,21;24,21;23,98;23,98;24,07;
703105;Salvado de trigo;€/100 kilos;25,44;25,44;26,04;25,54;26,04;25,44;25,59;26,12;26,12;26,12;26,12;26,12;25,84;
703106;Paja de cereales;€/100 kilos;10,54;10,74;11,54;12,04;11,87;11,31;10,56;9,08;9,08;9,08;9,08;9,08;10,33;
703107;Harina de soja;€/100 kilos;41,82;39,86;39,86;38,61;40;40,75;41,61;43,6;43,1;43,1;43,1;43,1;41,54;
703111;Pulpa de remolacha;€/100 kilos;23,41;22,96;23,51;22,59;23,34;23,34;23,04;22,91;22,91;22,91;22,82;22,82;23,05;
703113;Alfalfa deshidratada;€/100 kilos;23,01;22,41;21,98;22,78;21,64;21,48;21,48;21,08;20,58;20,48;20,48;20,48;21,49;
Piensos compuestos;;;;;;;;;;;;;;;;
Bovino;;;;;;;;;;;;;;;;
703211;Lactorrenplazantes 20% de proteína;€/100 kilos;95,6;95,6;95,6;95,6;96,2;96,2;96,2;96,2;96,95;96,95;96,95;96,95;96,25;
703212;Terneros cría;€/100 kilos;32,04;31,81;33,84;33,84;33,54;33,54;33,69;33,69;33,69;33,69;31,66;31,66;33,06;
703213;Terneros recría y cebo;€/100 kilos;29,31;29,08;29,08;29,08;28,78;28,78;28,86;28,86;28,86;28,86;28,79;28,79;28,93;
703214;Vacuno de leche;€/100 kilos;29,81;29,45;29,66;29,66;29,66;29,66;29,73;29,73;29,73;29,73;29,56;29,56;29,66;
703215;Vacuno de carne;€/100 kilos;28,45;28,15;28,15;28,15;27,75;27,75;27,75;27,75;27,75;27,75;26,88;26,88;27,76;
Ovino y caprino;;;;;;;;;;;;;;;;
703222;Corderos y chivos recría y engorde;€/100 kilos;35,7;35,7;35,7;35,7;35,7;35,7;35,26;35,26;35,26;35,26;35,26;35,26;35,48;
703223;Ovejas y cabras en lactación;€/100 kilos;32,13;32,13;30,2;30,2;30,2;30,2;30,2;30,2;30,2;30,2;31,7;31,7;30,77;
Porcino;;;;;;;;;;;;;;;;
703231;Lechones;€/100 kilos;39,74;39,24;38,9;38,9;38,9;38,9;38,9;38,9;38,9;38,9;37,66;37,66;38,79;
703232;Cerdos crecimiento y cebo;€/100 kilos;31,56;31,26;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,59;31,56;
703233;Cerdos reproductores;€/100 kilos;31,96;31,56;32,61;32,61;32,61;32,61;32,61;32,61;32,61;32,61;31,65;31,65;32,31;
Conejos;;;;;;;;;;;;;;;;
703241;Conejos;€/100 kilos;32,37;31,67;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,52;31,6;
Aves;;;;;;;;;;;;;;;;
703251;Pollitas cría y recría;€/100 kilos;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;36,84;
703252;Gallinas Ponedoras;€/100 kilos;36,81;36,36;36,36;36,36;36,36;36,36;36,66;36,66;36,66;36,66;36,66;36,66;36,55;
703253;Pollos de carne;€/100 kilos;37,87;37,42;37,42;37,42;37,42;37,42;37,8;37,8;37,8;37,8;37,8;37,79;37,65;
Fte: Cooperativas Asturias.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRECIOS PAGADOS EN ASTURIAS. Año 2017;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PRODUCTO;;Unidad;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media;
Semillas;;;;;;;;;;;;;;;;
;Patata siembra;€/kg;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;0,56;
;Maíz grano híbrido;€/kilo;;;;;;;;;;;;;;
;Maíz forrajero;€/kilo;6,42;6,42;6,42;7,3;7,3;7,3;6,64;6,64;6,64;6,64;6,64;6,64;6,64;
701112;Judía verde;€/kilo;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;26,16;
701116;Alfalfa;€/kilo;;;;;;;;;;;;;;
701117;Ray grass;€/kilo;1,73;1,73;1,85;1,73;1,73;1,73;1,73;1,73;1,85;1,85;1,85;1,91;1,82;
Varios;;;;;;;;;;;;;;;;
