AGRICULTURA ECOLOGICA. REGISTRO DE INDUSTRIAS ELABORADORA CONCEJOS. AÑO 2016.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;ACTIVIDADES DE LAS INDUSTRIAS;;;;;;;;;
Cod Mun;Municipio;Nº Industrias;Leche, quesos y derivados lácteos;Sidras y vinagres;Panificación y pastelería;Manipulación y envasado productos hortofrutícolas;Conservas y zumos vegetales;Mataderos, salas de despiece y productos cárnicos;Miel;Piensos;Otros (*);
1;Allande;1;;;;;;;1;;;
2;Aller;2;;;;;1;;1;;;
4;Avilés;2;;;;;1;1;;;;
5;Belmonte de Miranda;1;;;;;;1;;;;
6;Bimenes;1;;;1;;;;;;;
7;Boal;1;;;;;;;;;1;
11;Cangas del Narcea;1;;;;;;;;1;;
12;Cangas de Onís;1;;;;;;1;;;;
16;Castrillón;1;;;;;;1;;;;
18;Coaña;1;;;;;;1;;;;
20;Corvera;1;;;1;;;;;;;
22;Degaña;1;;;;;;1;;;;
24;Gijón ;8;;1;2;1;;3;;;1;
28;Ibias;1;;;;;;1;;;;
33;Lena;1;;;1;;;;;;;
34;Valdés;2;;;;;;;1;1;;
35;Llanera;6;;1;1;;;2;;;2;
36;Llanes;3;;1;1;;;1;;;;
37;Mieres;1;;;;;;1;;;;
40;Nava;3;1;1;;;;;;;1;
41;Navia;1;;;;;;;;;1;
42;Noreña;2;;;;1;;1;;;;
44;Oviedo;4;;;1;;1;1;1;;;
46;Peñamellera Alta;1;;;1;;;;;;;
47;Peñamellera Baja;1;;;;;1;;;;;
51;Pravia;3;;;;1;1;1;;;;
59;Salas;3;;;;2;;;1;;;
60;San Martín del Rey Aurelio;3;;;;;;1;1;;1;
65;Salas;2;;2;;;;;;;;
66;San Martín del Rey Aurelio;9;2;2;1;1;2;1;;;;
67;Sobrescobio;1;;;1;;;;;;;
70;Tapia de Casariego;2;;;;1;1;;;;;
71;Taramundi;1;;;;;1;;;;;
73;Tineo;2;;;;;;1;;;;
76;Villaviciosa;2;1;1;;;;;;;;
77;Villayón;2;;;;;;;1;1;;
;TOTAL;78;4;9;11;7;9;20;7;3;7;
;(*) Hace referencia a: frutos secos, legumbres, café, algas, otras conservas;;;;;;;;;;;
;Fuente: COPAE (Consejo de la Producción Agraria Ecológica del Principado de Asturias);;;;;;;;;;;
;;;;;;;;;;;;
AGRICULTURA ECOLOGICA. REGISTRO DE INDUSTRIAS ELABORADORAS EN ASTURIAS, POR CONCEJOS. AÑO 2017.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;ACTIVIDADES DE LAS INDUSTRIAS;;;;;;;;;
Cod Mun;Municipio;Nº Industrias;Leche, quesos y derivados lácteos;Sidras y vinagres;Panificación y pastelería;Manipulación y envasado productos hortofrutícolas;Conservas y zumos vegetales;Mataderos, salas de despiece y productos cárnicos;Miel;Piensos;Otros (*);OTROS (*)
1;Allande;1;;;;;;;1;;;
2;Aller;2;;;;;1;;2;;;
4;Avilés;2;;;;;1;1;;;;
6;Bimenes;1;;;1;;;;;;;
7;Boal;1;;;;;;;;1;;
9;Cabranes;1;;;;;;;;;;1
11;Cangas del Narcea;1;;;;;;;;;1;
12;Cangas de Onís;1;;;;;;1;;;;
16;Castrillón;1;;;;;;1;;;;
18;Coaña;1;;;;;;1;;;;
19;Colunga;1;;;;;;;;;;1
20;Corvera;1;;;1;;;;;;;
22;Degaña;1;;;;;;1;;;;
24;Gijón ;10;;2;3;;;3;;;;
25;Gozón;1;;;;;1;;;;;
26;Grado;1;;;;;;;;;;1
28;Ibias;1;;;;;;1;;;;
31;Langreo;1;;;;;;1;;;;
33;Lena;1;;;3;;;;;;;
34;Valdés;1;;;;1;;;;;1;
35;Llanera;6;;1;1;;1;2;;;;2
36;Llanes;4;;1;1;;1;1;;;;
37;Mieres;1;;;;;;1;;;;
40;Nava;3;1;1;;1;;1;;;;
41;Navia;1;;;;;1;;;;;
42;Noreña;1;;;;;;;;;;1
44;Oviedo;6;;;3;;1;1;;;;3
46;Peñamellera Alta;1;;;1;;;;;;;
49;Piloña;2;;;;;;;;;;1
51;Pravia;4;;;;;2;1;;;;1
59;Salas;3;;;;;2;;1;;;
60;San Martín del Rey Aurelio;3;;;;;;1;1;1;;
65;Sariego;2;;2;;;;;;;;
66;Siero;12;2;3;1;1;4;;;;;1
67;Sobrescobio;1;;;2;;;;;;;
70;Tapia de Casariego;2;;;;;1;;;;;1
71;Taramundi;1;;;;;1;;;;;
73;Tineo;2;;;;;1;;1;;;
76;Villaviciosa;3;1;1;;;;;;1;;
77;Villayón;2;;;;;;;1;;1;
;TOTAL;91;4;11;17;3;18;18;7;3;3;13
;(*) Hace referencia a: Crema de cacao(1.9.2), Envasado semillas(2.9.9)Preparados de carne(2.9.2) , Conservas de pescado(2.4)Cerveza(1.6.1) , café(1.9.3), algas y preparados alimenticios(1.9.9) (2.9.1), otras conservas;;;;;;;;;;;
;Fuente: COPAE (Consejo de la Producción Agraria Ecológica del Principado de Asturias);;;;;;;;;;;
;Nota: Elabora Sección de Prospectiva y Estadística. Consejería de Desarrollo Rural y Recursos Naturales;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
AGRICULTURA ECOLOGICA. REGISTRO DE INDUSTRIAS ELABORADORAS EN ASTURIAS, POR CONCEJOS. AÑO 2018;;;;;;;;;;;;
;;;;;;;;;;;;
;;;ACTIVIDADES DE LAS INDUSTRIAS;;;;;;;;;
Cod Mun;MUNICIPIO;Nº Industrias;Leche, quesos y derivados lácteos;Sidras y vinagres;Panificación y pastelería;Manipulación y envasado productos hortofrutícolas;Conservas y zumos vegetales;Mataderos, salas de despiece y productos cárnicos;Miel;Piensos;Otros (*);OTROS (*)
1;Allande;1;;;;;;;1;;;
2;Aller;2;;;;;1;;1;;;
4;Avilés;2;;;;;1;1;;;;
5;Belmonte de Miranda;2;;;;;;2;;;;
6;Bimenes;1;;;1;;;;;;;
7;Boal;1;;;;;;;;1;;
8;Caravia;1;;;;;1;;;;;
9;Cabranes;1;;;;;;;;;;1
11;Cangas del Narcea;1;;;;;;;;;1;
12;Cangas de Onís;;;;;;;;;;;
16;Castrillón;2;;;;;;1;;1;;
18;Coaña;2;;;;;;1;;;1;
19;Colunga;2;;;;;1;;1;;;1
20;Corvera;1;;;1;;;;;;;
22;Degaña;;;;;;;;;;;
24;Gijón ;10;;3;2;;;4;;;;1
25;Gozón;1;;;;;1;;;;;1
26;Grado;1;;;;;;;;;;1
28;Ibias;1;;;;;;1;;;;
31;Langreo;1;;;;;;;;;;1
33;Lena;1;;;3;;;;;;;
34;Valdés;2;;;;1;;;;;1;1
35;Llanera;8;;1;1;2;;2;;;;2
36;Llanes;5;;1;1;2;;1;;;;
37;Mieres;2;;;1;;;1;;;;
38;Morcín;1;;;;;;;;1;;
40;Nava;3;1;1;;;;1;;;;
41;Navia;1;;;;;;;;;;1
42;Noreña;4;;;;;;3;;;;1
44;Oviedo;8;1;;2;1;;1;;;;3
45;Parres;1;;;;1;;;;;;
46;Peñamellera Alta;1;;;1;;;;;;;
47;Peñamellera Baja;1;;1;;;;;;;;
49;Piloña;2;1;;;1;;;;;;1
51;Pravia;4;;;;2;;1;;;;1
59;Salas;4;;;;2;1;;1;;1;
60;San Martín del Rey Aurelio;3;;;;;;1;1;1;;
65;Sariego;2;;2;;;;;;;;
66;Siero;14;4;4;2;1;4;;;;;1
67;Sobrescobio;1;;;2;;;;;;;
70;Tapia de Casariego;2;;;;1;;;;;;1
71;Taramundi;1;;;;;1;;;;;
73;Tineo;3;;;1;;;;1;;;1
76;Villaviciosa;4;1;2;;;;;;1;;
77;Villayón;2;;;;;;;1;;;
;TOTAL;113;8;15;18;14;11;21;7;5;4;19
;(*) Hace referencia a: Crema de cacao(1.9.2), Envasado semillas(2.9.9)Preparados de carne(2.9.2) , Conservas de pescado(2.4)Cerveza(1.6.1) , café(1.9.3), algas y preparados alimenticios(1.9.9) (2.9.1), otras conservas;;;;;;;;;;;
;Fuente: COPAE (Consejo de la Producción Agraria Ecológica del Principado de Asturias);;;;;;;;;;;
